UserID,I,Iu,Imax,BucketNum,SumExp,AvgExp
12347.0,182,103,47,7,4310.0,615.7142857142857
12348.0,31,22,17,4,1797.24,449.31
12349.0,73,73,73,1,1757.55,1757.55
12350.0,17,17,17,1,334.4,334.4
12352.0,85,59,18,8,2506.04,313.255
12353.0,4,4,4,1,89.0,89.0
12354.0,58,58,58,1,1079.4,1079.4
12355.0,13,13,13,1,459.4,459.4
12356.0,59,53,36,3,2811.43,937.1433333333333
12358.0,19,13,12,2,1168.06,584.03
12359.0,248,214,105,4,6372.58,1593.145
12360.0,129,105,54,3,2662.06,887.3533333333334
12361.0,10,10,10,1,189.9,189.9
12362.0,266,201,40,10,5226.23,522.6229999999999
12363.0,23,23,16,2,552.0,276.0
12364.0,85,70,34,4,1313.1,328.275
12365.0,22,22,21,2,641.38,320.69
12367.0,11,11,11,1,168.9,168.9
12370.0,167,143,83,4,3545.6899999999996,886.4224999999999
12371.0,63,63,62,2,1887.96,943.98
12372.0,52,34,20,3,1298.04,432.68
12373.0,14,14,14,1,364.6,364.6
12374.0,33,33,33,1,742.9300000000001,742.9300000000001
12375.0,17,14,11,2,457.5,228.75
12377.0,77,72,43,2,1628.12,814.06
12379.0,40,39,20,2,852.24,426.12
12380.0,104,77,36,4,2724.8100000000004,681.2025000000001
12381.0,87,70,62,5,1845.31,369.062
12383.0,99,84,37,5,1850.56,370.11199999999997
12384.0,27,26,14,2,585.27,292.635
12386.0,10,10,8,2,401.9,200.95
12388.0,100,57,35,6,2780.66,463.4433333333333
12390.0,32,32,32,1,549.84,549.84
12391.0,100,92,100,1,460.89,460.89
12393.0,64,47,25,4,1582.6,395.65
12394.0,27,26,21,2,1272.48,636.24
12395.0,156,91,19,12,3018.63,251.5525
12397.0,126,110,70,2,2409.8999999999996,1204.9499999999998
12398.0,85,85,85,1,1635.6599999999999,1635.6599999999999
12399.0,59,47,22,4,1108.65,277.1625
12401.0,5,5,5,1,84.3,84.3
12402.0,11,11,11,1,225.6,225.6
12403.0,5,5,5,1,427.7,427.7
12405.0,54,54,54,1,1710.39,1710.39
12406.0,105,92,56,2,3415.3,1707.65
12407.0,77,57,33,5,1708.12,341.62399999999997
12408.0,105,81,32,5,2888.55,577.71
12409.0,109,91,64,3,11072.67,3690.89
12410.0,26,26,22,2,693.3299999999999,346.66499999999996
12412.0,61,43,28,3,1226.88,408.96000000000004
12413.0,38,29,24,3,758.1,252.70000000000002
12414.0,18,16,7,3,562.41,187.47
12417.0,192,158,35,9,3649.1,405.4555555555555
12418.0,34,34,34,1,668.58,668.58
12420.0,29,29,29,1,600.39,600.39
12421.0,45,32,14,4,807.04,201.76
12422.0,39,39,18,3,803.56,267.8533333333333
12423.0,125,97,22,8,1859.31,232.41375
12424.0,30,30,23,2,1760.9600000000003,880.4800000000001
12425.0,36,36,36,1,777.2,777.2
12426.0,30,30,30,1,582.73,582.73
12427.0,31,26,15,3,825.8,275.26666666666665
12428.0,294,258,98,9,7956.46,884.0511111111111
12429.0,97,82,29,4,3750.4,937.6
12430.0,11,11,11,1,256.4,256.4
12431.0,235,163,37,15,6487.45,432.49666666666667
12432.0,108,107,62,5,5059.32,1011.8639999999999
12433.0,420,219,81,7,13375.87,1910.8385714285716
12434.0,50,46,34,2,806.14,403.07
12435.0,36,31,19,2,7829.89,3914.945
12436.0,16,16,16,1,509.01,509.01
12437.0,199,118,39,18,4951.41,275.0783333333333
12438.0,98,84,49,2,2906.85,1453.425
12441.0,11,11,11,1,173.55,173.55
12442.0,12,12,12,1,172.06,172.06
12444.0,176,138,90,5,5005.46,1001.092
12445.0,4,4,4,1,133.4,133.4
12446.0,57,57,57,1,1002.3100000000001,1002.3100000000001
12447.0,26,26,26,1,476.49,476.49
12448.0,22,22,22,1,449.45,449.45
12449.0,191,118,59,4,4067.29,1016.8225
12450.0,8,7,6,2,197.88,98.94
12451.0,354,265,101,5,9035.52,1807.104
12452.0,22,21,21,2,430.57,215.285
12453.0,43,43,43,1,707.09,707.09
12454.0,15,15,15,1,3528.34,3528.34
12455.0,90,85,41,6,2466.86,411.1433333333334
12456.0,125,105,45,3,3181.04,1060.3466666666666
12457.0,62,53,34,7,2363.23,337.6042857142857
12458.0,38,35,19,2,947.4000000000001,473.70000000000005
12461.0,35,35,34,2,826.88,413.44
12462.0,62,51,40,2,1189.5900000000001,594.7950000000001
12463.0,83,65,23,4,1344.78,336.195
12464.0,29,6,6,8,1212.05,151.50625
12465.0,47,46,26,2,742.19,371.095
12468.0,38,36,26,2,729.5400000000001,364.77000000000004
12472.0,339,219,80,7,6572.110000000001,938.8728571428572
12473.0,168,140,99,5,3938.55,787.71
12474.0,424,253,48,18,7375.79,409.7661111111111
12475.0,36,36,36,1,723.38,723.38
12476.0,233,177,59,11,6816.42,619.6745454545454
12477.0,300,191,90,6,13219.74,2203.29
12478.0,36,36,36,1,680.99,680.99
12479.0,31,31,31,1,527.2,527.2
12480.0,154,129,42,4,3281.63,820.4075
12481.0,217,150,48,10,5596.320000000001,559.6320000000001
12483.0,75,46,16,8,2484.98,310.6225
12484.0,346,256,122,6,4541.72,756.9533333333334
12488.0,55,46,27,3,1298.66,432.8866666666667
12489.0,15,15,15,1,334.93,334.93
12490.0,245,131,43,10,5417.93,541.793
12491.0,26,25,26,1,460.40000000000003,460.40000000000003
12492.0,20,19,11,2,263.21000000000004,131.60500000000002
12493.0,22,20,12,2,433.74,216.87
12494.0,77,63,21,7,1246.1000000000001,178.01428571428573
12497.0,14,14,14,1,1043.1,1043.1
12498.0,23,21,13,3,403.7,134.56666666666666
12500.0,61,34,11,11,4257.82,387.07454545454544
12502.0,147,102,39,5,3723.87,744.774
12504.0,9,6,6,2,482.04999999999995,241.02499999999998
12506.0,23,23,23,1,73.5,73.5
12507.0,21,19,13,3,1304.81,434.93666666666667
12508.0,69,57,52,2,398.27,199.135
12509.0,7,7,7,1,176.5,176.5
12510.0,33,29,29,2,982.5699999999999,491.28499999999997
12512.0,34,31,32,2,138.03,69.015
12513.0,35,35,35,1,612.29,612.29
12514.0,51,51,51,1,1017.68,1017.68
12515.0,16,16,16,1,383.7,383.7
12516.0,26,20,13,2,1312.06,656.03
12518.0,124,84,33,5,2056.89,411.378
12519.0,18,17,18,1,340.84,340.84
12520.0,152,121,60,5,2634.26,526.8520000000001
12521.0,38,38,38,1,599.68,599.68
12522.0,12,11,6,2,192.72,96.36
12523.0,106,84,14,11,1789.77,162.70636363636365
12524.0,144,113,33,8,4485.719999999999,560.7149999999999
12526.0,71,64,29,3,1316.6599999999999,438.8866666666666
12527.0,18,18,10,3,348.71000000000004,116.23666666666668
12528.0,92,50,31,6,1933.48,322.24666666666667
12530.0,66,51,20,4,1662.28,415.57
12531.0,17,17,17,1,125.22,125.22
12532.0,16,16,16,1,349.83000000000004,349.83000000000004
12534.0,63,63,63,1,1089.18,1089.18
12535.0,34,28,18,2,716.3499999999999,358.17499999999995
12538.0,21,21,21,1,363.95,363.95
12539.0,273,157,93,4,5568.35,1392.0875
12540.0,478,277,47,17,13400.24,788.2494117647059
12541.0,52,46,24,3,981.18,327.06
12544.0,19,19,19,1,372.7,372.7
12545.0,50,42,34,2,1000.39,500.195
12546.0,69,59,45,2,1161.5,580.75
12547.0,8,7,6,2,207.8,103.9
12548.0,5,5,5,1,95.19999999999999,95.19999999999999
12550.0,57,57,57,1,964.83,964.83
12551.0,10,10,10,1,168.0,168.0
12552.0,20,20,19,2,437.82,218.91
12553.0,191,95,38,10,3692.2799999999997,369.22799999999995
12556.0,121,100,67,2,603.71,301.855
12557.0,33,15,15,5,11990.960000000001,2398.192
12558.0,11,11,11,1,269.96,269.96
12559.0,21,21,20,2,561.71,280.855
12560.0,105,91,76,3,2134.01,711.3366666666667
12561.0,16,16,16,1,238.85,238.85
12562.0,168,99,29,7,3781.74,540.2485714285714
12564.0,21,21,21,1,456.9,456.9
12565.0,9,9,9,1,145.92,145.92
12566.0,19,19,19,1,351.65,351.65
12571.0,34,31,20,2,519.61,259.805
12572.0,60,53,36,2,1020.4200000000001,510.21000000000004
12573.0,28,26,28,1,160.54000000000002,160.54000000000002
12574.0,11,11,11,1,218.45,218.45
12576.0,88,72,26,5,1315.83,263.166
12577.0,147,137,67,3,657.8,219.26666666666665
12578.0,114,111,70,2,2794.51,1397.255
12579.0,29,29,29,1,440.42,440.42
12580.0,24,24,24,1,415.7,415.7
12581.0,15,15,15,1,197.71,197.71
12582.0,22,21,12,2,511.36,255.68
12583.0,247,115,24,15,7281.38,485.42533333333336
12584.0,96,44,18,9,2338.15,259.7944444444445
12585.0,87,77,65,2,2040.1,1020.05
12586.0,11,11,11,1,196.94000000000003,196.94000000000003
12587.0,4,4,4,1,144.0,144.0
12588.0,10,10,10,1,214.89999999999998,214.89999999999998
12589.0,35,29,25,2,646.6800000000001,323.34000000000003
12590.0,68,68,67,2,9864.26,4932.13
12591.0,26,26,26,1,452.84999999999997,452.84999999999997
12592.0,18,11,9,2,437.6,218.8
12593.0,21,14,11,3,418.1,139.36666666666667
12594.0,118,50,24,10,3338.2200000000003,333.822
12596.0,27,25,15,2,618.27,309.135
12597.0,206,184,116,4,3811.22,952.805
12598.0,132,84,26,8,3023.08,377.885
12599.0,62,32,14,7,1032.58,147.51142857142855
